"TotalSampleSize","Ratio","VarRatio","mean_TrueConc","Bias PO Model","Bias WinP","Bias Normal","Coverage PO Model","Coverage WinP","Coverage Normal","Coverage Bootstrap","ValidRuns"
100,"1","1",0.760249938906523,0.121271396192364,0.761599678890374,0.761599678890426,0.97,0.99,0.94,0.99,100
100,"1","2",0.718148569174613,0.407358862227444,0.56470638520484,0.564706385204883,0.93,0.94,0.87,0.93,100
100,"1","5",0.658454300845196,0.243436145206975,-0.559234079034674,-0.559234079034641,0.9,0.92,0.75,0.92,100
100,"5","1",0.760249938906523,-0.611130878645861,-0.353558219745399,-0.353558219745384,0.98,1,0.93,0.99,100
100,"5","2",0.718148569174613,-2.41846894586506,0.142342646037999,0.142342646038006,1,0.99,0.92,0.98,100
100,"5","5",0.658454300845196,-3.58407404677854,0.217525255355356,0.217525255355353,1,0.96,0.93,0.96,100
100,"10","1",0.760249938906523,0.0506977058622795,0.334472093466816,0.334472093466645,0.931818181818182,0.965909090909091,0.897727272727273,0.954545454545455,88
100,"10","2",0.718148569174613,-3.0708521825441,0.680279513924698,0.680279513924534,1,0.967032967032967,0.945054945054945,0.956043956043956,91
100,"10","5",0.658454300845196,-5.33990539689916,-0.593316918225755,-0.593316918225905,0.98936170212766,0.957446808510638,0.840425531914894,0.946808510638298,94
500,"1","1",0.760249938906523,-0.584475710212168,0.184315844272643,0.184315844272501,0.95,0.94,0.99,0.94,100
500,"1","2",0.718148569174613,-0.301065534606864,-0.0123107081747833,-0.0123107081749187,0.93,0.94,0.87,0.93,100
500,"1","5",0.658454300845196,1.10462780271891,0.281644322532995,0.281644322532928,0.89,0.95,0.7,0.94,100
500,"5","1",0.760249938906523,-1.14815890900655,-0.693157609443665,-0.693157609443785,0.91,0.93,0.93,0.92,100
500,"5","2",0.718148569174613,-2.98176414705664,-0.156704128697358,-0.156704128697444,0.93,0.98,0.93,0.98,100
500,"5","5",0.658454300845196,-4.06549367525919,-0.059376691463122,-0.0593766914631594,0.95,0.96,0.85,0.95,100
500,"10","1",0.760249938906523,-0.474743269141243,-0.303463590800859,-0.303463590800733,0.97,0.95,0.95,0.97,100
500,"10","2",0.718148569174613,-3.00980421060013,0.505424247774171,0.505424247774306,0.97,0.95,0.95,0.94,100
500,"10","5",0.658454300845196,-5.30944469601438,-0.460855160566337,-0.460855160566234,0.97,0.98,0.91,0.98,100
1000,"1","1",0.760249938906523,-0.522193735134662,0.291364849915501,0.291364849915379,0.92,0.93,0.96,0.92,100
1000,"1","2",0.718148569174613,-0.0114538238902199,0.303323144943493,0.30332314494341,0.93,0.93,0.91,0.97,100
1000,"1","5",0.658454300845196,0.476243718773215,-0.35787766017631,-0.357877660176393,0.93,0.97,0.77,0.97,100
1000,"5","1",0.760249938906523,0.0519659538055523,0.670013788682588,0.670013788683338,0.9,0.9,0.97,0.9,100
1000,"5","2",0.718148569174613,-2.41068551832333,0.387562788127558,0.387562788128166,0.89,0.94,0.95,0.93,100
1000,"5","5",0.658454300845196,-3.7401031284093,0.320064847471342,0.320064847471766,0.88,0.94,0.88,0.94,100
1000,"10","1",0.760249938906523,-0.681508684301778,-0.443595954046459,-0.443595954044666,0.95,0.95,0.93,0.96,100
1000,"10","2",0.718148569174613,-3.75359152325932,-0.341693619076521,-0.341693619074957,0.87,0.94,0.89,0.96,100
1000,"10","5",0.658454300845196,-4.84519173084313,0.0909522798024049,0.0909522798035795,0.88,0.97,0.89,0.96,100
