"Run","TotalSampleSize","Ratio","VarRatio","BiasApprox","BiasWinP","BiasConc","CoverageApprox","CoverageWinP","CoverageConcNormal","CoverageConcBoot"
1,1000,1,2,0.87284246831547,1.17126611211599,1.1712661121158,TRUE,TRUE,TRUE,TRUE
2,1000,1,2,3.08647861630141,3.35688628511706,3.35688628511702,TRUE,TRUE,TRUE,TRUE
3,1000,1,2,-4.46408860397738,-4.1418406234241,-4.14184062342418,FALSE,TRUE,FALSE,TRUE
4,1000,1,2,-0.903018960376689,-0.731404252555854,-0.73140425255604,TRUE,TRUE,TRUE,TRUE
5,1000,1,2,-3.64041649578707,-3.29633312530593,-3.29633312530596,TRUE,TRUE,TRUE,TRUE
6,1000,1,2,0.000839604672634473,0.519590372459549,0.519590372459456,TRUE,TRUE,TRUE,TRUE
7,1000,1,2,0.864894702183204,1.2620551254183,1.26205512541835,TRUE,TRUE,TRUE,TRUE
8,1000,1,2,2.04657556948931,2.26351921080483,2.26351921080471,TRUE,TRUE,TRUE,TRUE
9,1000,1,2,-0.29895382828663,-0.0658038176077077,-0.0658038176079087,TRUE,TRUE,TRUE,TRUE
10,1000,1,2,-3.0225904604857,-2.78167638732093,-2.78167638732094,TRUE,TRUE,TRUE,TRUE
11,1000,1,2,-3.18590141513616,-2.81620963164449,-2.81620963164462,TRUE,TRUE,TRUE,TRUE
12,1000,1,2,-2.86155707571299,-2.69645725213506,-2.69645725213511,TRUE,TRUE,TRUE,TRUE
13,1000,1,2,-3.74035667960159,-3.5998914826671,-3.59989148266725,TRUE,TRUE,FALSE,TRUE
14,1000,1,2,-0.501921424137615,-0.353766516242304,-0.353766516242381,TRUE,TRUE,TRUE,TRUE
15,1000,1,2,-2.16534660757284,-1.88603998615223,-1.88603998615225,TRUE,TRUE,TRUE,TRUE
16,1000,1,2,0.77660830433997,0.8532260716511,0.853226071651023,TRUE,TRUE,TRUE,TRUE
17,1000,1,2,-3.41668327421316,-3.23673542945694,-3.23673542945707,TRUE,TRUE,TRUE,TRUE
18,1000,1,2,1.28105924862773,1.70597441132113,1.70597441132097,TRUE,TRUE,TRUE,TRUE
19,1000,1,2,-0.76886064516782,-0.731404252555947,-0.73140425255604,TRUE,TRUE,TRUE,TRUE
20,1000,1,2,-1.34992582018799,-0.874550120155721,-0.874550120155798,TRUE,TRUE,TRUE,TRUE
21,1000,1,2,-1.64983896478426,-1.56855693349912,-1.56855693349916,TRUE,TRUE,TRUE,TRUE
22,1000,1,2,-2.83312077461324,-2.58728764104733,-2.5872876410474,TRUE,TRUE,TRUE,TRUE
23,1000,1,2,-1.52065725530752,-1.19704606311393,-1.19704606311387,TRUE,TRUE,TRUE,TRUE
24,1000,1,2,-1.38717759518075,-1.16362679441341,-1.16362679441351,TRUE,TRUE,TRUE,TRUE
25,1000,1,2,-5.6285449787508,-5.50590377420907,-5.50590377420907,FALSE,FALSE,FALSE,FALSE
26,1000,1,2,-3.19548053562461,-2.86021166876668,-2.86021166876672,TRUE,TRUE,TRUE,TRUE
27,1000,1,2,0.412446284445973,0.796413314860677,0.796413314860461,TRUE,TRUE,TRUE,TRUE
28,1000,1,2,-0.641412799518478,-0.297510747263554,-0.297510747263461,TRUE,TRUE,TRUE,TRUE
29,1000,1,2,1.27577633893888,1.53275120189103,1.53275120189094,TRUE,TRUE,TRUE,TRUE
30,1000,1,2,2.1248318873348,2.32645883352381,2.32645883352365,TRUE,TRUE,TRUE,TRUE
31,1000,1,2,3.34472321578704,3.81807219318172,3.81807219318145,TRUE,TRUE,TRUE,TRUE
32,1000,1,2,-0.522254640798845,-0.584359470274557,-0.584359470274604,TRUE,TRUE,TRUE,TRUE
33,1000,1,2,2.66212230900465,3.12350839202652,3.12350839202638,TRUE,TRUE,TRUE,TRUE
34,1000,1,2,0.193209201120503,0.379786431729857,0.379786431729749,TRUE,TRUE,TRUE,TRUE
35,1000,1,2,-3.78174932723177,-3.53917981119486,-3.53917981119497,TRUE,TRUE,FALSE,TRUE
36,1000,1,2,-2.85997066522035,-2.75382699673728,-2.75382699673736,TRUE,TRUE,TRUE,TRUE
37,1000,1,2,0.679671200542252,0.877733535364634,0.877733535364588,TRUE,TRUE,TRUE,TRUE
38,1000,1,2,-2.00879679402567,-1.5535182625839,-1.55351826258403,TRUE,TRUE,TRUE,TRUE
39,1000,1,2,-2.27719132121405,-2.08878354960088,-2.0887835496009,TRUE,TRUE,TRUE,TRUE
40,1000,1,2,3.0762686408747,3.3997743466159,3.39977434661573,TRUE,TRUE,TRUE,TRUE
41,1000,1,2,3.55461377186591,4.13499825802288,4.1349982580229,TRUE,TRUE,TRUE,FALSE
42,1000,1,2,-1.65699864458094,-1.40647348030256,-1.40647348030259,TRUE,TRUE,TRUE,TRUE
43,1000,1,2,-3.07649428169904,-2.72096471584869,-2.7209647158487,TRUE,TRUE,TRUE,TRUE
44,1000,1,2,-1.97466999859385,-1.77742736287611,-1.77742736287619,TRUE,TRUE,TRUE,TRUE
45,1000,1,2,1.70770814078328,2.12594322132191,2.1259432213217,TRUE,TRUE,TRUE,TRUE
46,1000,1,2,-3.9386615530415,-3.58039690925848,-3.58039690925868,TRUE,TRUE,FALSE,TRUE
47,1000,1,2,-4.90623872757632,-4.86870971765612,-4.86870971765621,FALSE,FALSE,FALSE,FALSE
48,1000,1,2,-1.00968028057814,-0.964782145646502,-0.964782145646625,TRUE,TRUE,TRUE,TRUE
49,1000,1,2,1.98017062402711,2.49466915264869,2.4946691526486,TRUE,TRUE,TRUE,TRUE
