"TrueConc","BiasApprox","BiasWinP","BiasConc","CoverageApprox","CoverageWinP","CoverageConcNormal","CoverageConcBoot","TotalSampleSize","Ratio","VarRatio","ValidRuns"
0.792891910878737,-2.07082990034691,-0.39239505318706,-0.392395053187073,0.955,0.955,0.98,0.95,100,0.5,0.5,200
0.792891910878737,-1.50604954987251,0.328161530746635,0.328161530746662,0.94,0.965,0.99,0.96,500,0.5,0.5,200
0.792891910878737,-1.90637130777132,-0.0621572924473759,-0.0621572924471424,0.855,0.94,0.995,0.93,1000,0.5,0.5,200
0.792891910878737,-1.86182487618727,0.00180153001612816,0.00180153001623931,0.715,0.97,0.995,0.975,2000,0.5,0.5,200
0.792891910878737,-0.73127521830961,-0.364981763470213,-0.364981763470159,0.92,0.925,0.945,0.925,100,1,0.5,200
0.792891910878737,-0.469471824830683,0.14414185661157,0.144141856611444,0.95,0.945,0.985,0.945,500,1,0.5,200
0.792891910878737,-0.805695234119955,-0.197851795082373,-0.197851795082491,0.93,0.945,0.975,0.945,1000,1,0.5,200
0.792891910878737,-0.632285808080326,0.0169113998276483,0.0169113998292575,0.925,0.96,0.99,0.96,2000,1,0.5,200
0.792891910878737,1.33656086735819,0.477500506291268,0.477500506291279,0.83,0.94,0.955,0.905,100,2,0.5,200
0.792891910878737,0.635739839123746,-0.119954282186597,-0.119954282186552,0.9,0.93,0.955,0.925,500,2,0.5,200
0.792891910878737,0.884998501412312,0.145763875209686,0.145763875209575,0.94,0.98,0.99,0.98,1000,2,0.5,200
0.792891910878737,0.775759326205901,0.0376605576867383,0.0376605576853304,0.88,0.92,0.985,0.935,2000,2,0.5,200
0.792891910878737,2.34546263926555,0.252018960524437,0.252018960524462,0.84,0.94,0.925,0.915,100,5,0.5,200
0.792891910878737,2.94020433843589,0.525140173314703,0.525140173314586,0.755,0.935,0.97,0.925,500,5,0.5,200
0.792891910878737,2.59878886998999,0.0480991769587757,0.0480991769595559,0.685,0.965,0.985,0.965,1000,5,0.5,200
0.792891910878737,2.75083811631178,0.0696770016063816,0.0696770016074052,0.55,0.93,0.955,0.915,2000,5,0.5,200
0.760249938906523,-0.183088806818671,0.377615410898124,0.37761541089811,0.955,0.965,0.94,0.955,100,0.5,1,200
0.760249938906523,-0.568787197640384,0.193185927519588,0.193185927519619,0.955,0.945,0.97,0.94,500,0.5,1,200
0.760249938906523,-0.696626161801433,0.0659190468268898,0.0659190468271033,0.915,0.935,0.965,0.93,1000,0.5,1,200
0.760249938906523,-0.802187719861984,-0.0464886484851206,-0.0464886484850206,0.915,0.925,0.955,0.94,2000,0.5,1,200
0.760249938906523,-0.875351624351396,-0.234914705694335,-0.234914705694287,0.95,0.94,0.925,0.955,100,1,1,200
0.760249938906523,-1.08632865730689,-0.337680909282895,-0.337680909283034,0.95,0.955,0.945,0.955,500,1,1,200
0.760249938906523,-0.723394985265913,0.0794108703706068,0.0794108703704845,0.94,0.94,0.955,0.93,1000,1,1,200
0.760249938906523,-0.64635095275469,0.165255007487752,0.165255007489213,0.94,0.955,0.985,0.955,2000,1,1,200
0.760249938906523,-0.0529153931970784,0.580183942407239,0.580183942407245,0.94,0.965,0.94,0.925,100,2,1,200
0.760249938906523,-0.764260034008635,-0.0584209305419416,-0.0584209305418979,0.955,0.95,0.955,0.95,500,2,1,200
0.760249938906523,-0.624263365625517,0.101196817990527,0.101196817990393,0.895,0.93,0.945,0.93,1000,2,1,200
0.760249938906523,-0.832747438945162,-0.0937090957533583,-0.0937090957546578,0.92,0.94,0.95,0.94,2000,2,1,200
0.760249938906523,-1.05030280334506,-0.352159895617578,-0.35215989561757,0.925,0.915,0.895,0.91,100,5,1,200
